Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-441,590,Female,Human Resources,Divorced,Yes,Y,2,34,0,988,23,Bachelor's Degree,1,2,43,3,3,1,9950,11533,9,15,3,3,80,3,11,3,3,2,0,2
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-1401,1747,Female,Human Resources,Divorced,No,Y,0,30,0,600,8,Bachelor's Degree,1,3,66,2,1,4,2180,9732,6,11,3,3,80,1,6,2,4,2,1,2
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-1402,1944,Female,Human Resources,Married,No,Y,2,27,0,1337,22,Bachelor's Degree,1,1,58,2,1,2,2863,19555,1,12,3,1,80,0,1,3,1,0,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-1894,2302,Female,Human Resources,Divorced,Yes,Y,2,34,0,988,23,Bachelor's Degree,1,2,43,3,3,1,9950,11533,9,15,3,3,80,3,11,3,3,2,0,2
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-2854,3262,Female,Human Resources,Divorced,No,Y,0,30,0,600,8,Bachelor's Degree,1,3,66,2,1,4,2180,9732,6,11,3,3,80,1,6,2,4,2,1,2
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-2855,3263,Female,Human Resources,Married,No,Y,2,27,0,1337,22,Bachelor's Degree,1,1,58,2,1,2,2863,19555,1,12,3,1,80,0,1,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-614,847,Male,Human Resources,Married,No,Y,1,34,1,829,3,Associates Degree,1,3,88,3,1,4,3737,2243,0,19,3,3,80,1,4,1,3,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-656,910,Male,Human Resources,Divorced,Yes,Y,4,33,1,1075,3,Associates Degree,1,4,57,3,1,2,2277,22650,3,11,3,3,80,1,7,4,4,3,0,3
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-2067,2475,Male,Human Resources,Married,No,Y,1,34,1,829,3,Associates Degree,1,3,88,3,1,4,3737,2243,0,19,3,3,80,1,4,1,3,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-2109,2517,Male,Human Resources,Divorced,Yes,Y,4,33,1,1075,3,Associates Degree,1,4,57,3,1,2,2277,22650,3,11,3,3,80,1,7,4,4,3,0,3
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-140,184,Male,Human Resources,Married,Yes,Y,2,30,1,1240,9,Bachelor's Degree,1,3,48,3,2,4,6347,13982,0,19,3,4,80,0,12,1,11,9,4,7
